trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.4, 'e': 0.27362410337040804}",25,14,22.007594888319733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.2639488353792868}",25,17,-19.98414728239226,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.4, 'e': 0.2546156820248037}",30,9,-35.7748697908402,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.24561254623381226}",20,0,29.355635168581923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.4, 'e': 0.23692775868212176}",30,14,14.603385429266304,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.2285500626694205}",30,4,6.105553180805111,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.22046859952901593}",20,16,8.274497050616318,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.21267289455348304}",25,0,-44.80158604528596,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.20515284341797715}",20,9,11.667034758715054,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.19789869908361465}",25,12,18.318966943546883,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.19090105916394634}",30,11,24.918911589403617,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.4, 'e': 0.1841508537381482}",20,14,11.937050250868264,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.17763933359513492}",20,13,12.689203827152854,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.17135805889335734}",30,18,18.72782267929743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.4, 'e': 0.16529888822158653}",20,0,-18.60406657044999,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.4, 'e': 0.15945396804650516}",25,15,-21.117688505548443,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.15381572253342932}",25,0,2.524425591733678,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.4, 'e': 0.14837684372696586}",20,0,-34.52751006238634,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.14313028207887982}",30,18,20.863876386648744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.1380692373108928}",20,0,21.734899185641318,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.1331871496005706}",20,7,11.970691424714806,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.12847769107887502}",20,10,19.209547750988165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.12393475762836002}",25,15,22.220987379836465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.11955246097138093}",30,11,-45.324375454242954,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
61,False,"{'a': 0.4, 'e': 0.11532512103806256}",25,9,24.69966913876985,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.1112472586041333}",25,0,24.841436305417652,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.4, 'e': 0.10731358818908403}",20,10,14.818877385975851,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.10351901120544502}",25,15,18.725039310237545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.09985860935030323}",25,14,13.588299739113353,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.09632763823049303}",20,8,21.422891210373198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.4, 'e': 0.0929215212131989}",20,6,-0.11862436273047883,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.08963584349399842}",20,13,14.383168526127822,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.08646634637465789}",20,12,14.612730272125718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.08340892174326339}",25,20,11.592265274291771,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.08045960674953244}",25,3,30.506684497225734,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.07761457866840563}",25,11,16.853460708150596,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.07487014994525974}",20,0,25.958776720186208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.4, 'e': 0.07222276341632078}",20,9,19.329142637800956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.06966898769808184}",25,5,-9.96934555946662,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.06720551273974976}",20,5,12.79928053714412,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.06482914553295596}",20,7,22.590253441695033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.06253680597317074}",30,17,26.06600457674431,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.060325522867456564}",20,9,16.466543653196894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.05819243008338615}",20,13,15.92317774233916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.056134762834133725}",25,20,7.753469906298934,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.05414985409492424}",25,8,32.364260395346335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.05223513114619603}",20,2,19.0753262336236,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.05038811223899596}",25,10,27.639498961083884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
